case index 18 = {
num freq, 17001
num column, 38
Waveln,  combin,  H2O,  umix,  O3,  trace,  N2,  H2Ocnt,  molec,  aercld,  HNO3,  aercld,  CO2,  CO,  CH4,  N2O,  O2,  NH3,  NO,  NO2,  SO2,  cloud,  F11,  F12,  CCl3F,  CF4,  F22,  F113,  F114,  R115,  ClONO2,  HNO4,  CHCl2F,  CCl4,  N2O5,  H2-H2,  H2-HE,  H2-CH4,  CH4-CH4
  [nm],  trans,  trans,  trans,  trans,  trans,  trans,  trans,  scat,  trans,  trans,  abtrns,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans
300, 0.00230237, 1, 1, 0.0127325, 0.996381, 1, 1, 0.178619, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.998967, 0.997411, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
300.1, 0.00244043, 1, 1, 0.0134658, 0.996406, 1, 1, 0.179062, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.998966, 0.997438, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
300.2, 0.00258526, 1, 1, 0.0142329, 0.996438, 1, 1, 0.179505, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.998964, 0.997472, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
300.3, 0.00273745, 1, 1, 0.0150368, 0.996473, 1, 1, 0.179948, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.998963, 0.997508, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
300.4, 0.00289745, 1, 1, 0.0158795, 0.996511, 1, 1, 0.180392, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.99896, 0.997547, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
300.5, 0.00306593, 1, 1, 0.0167645, 0.996545, 1, 1, 0.180835, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.998956, 0.997585, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
300.6, 0.00324354, 1, 1, 0.017695, 0.996581, 1, 1, 0.18128, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.998953, 0.997625, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
300.7, 0.00343078, 1, 1, 0.0186735, 0.996615, 1, 1, 0.181724, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.99895, 0.997663, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
300.8, 0.0036279, 1, 1, 0.0197009, 0.996647, 1, 1, 0.182169, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.998945, 0.997699, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
300.9, 0.00383484, 1, 1, 0.0207767, 0.99668, 1, 1, 0.182614, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.998942, 0.997735, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
301, 0.00405143, 1, 1, 0.0218996, 0.996707, 1, 1, 0.183059, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.998937, 0.997769, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
301.1, 0.0042773, 1, 1, 0.0230675, 0.996734, 1, 1, 0.183504, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.998931, 0.9978, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
301.2, 0.00451217, 1, 1, 0.0242785, 0.996757, 1, 1, 0.18395, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.998926, 0.997829, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
301.3, 0.00475527, 1, 1, 0.0255284, 0.996777, 1, 1, 0.184396, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.998919, 0.997855, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
301.4, 0.00500594, 1, 1, 0.0268134, 0.996793, 1, 1, 0.184843, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.998913, 0.997877, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
301.5, 0.0052636, 1, 1, 0.0281304, 0.996804, 1, 1, 0.185289, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.998907, 0.997895, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
301.6, 0.00552792, 1, 1, 0.0294777, 0.99681, 1, 1, 0.185736, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.9989, 0.997909, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
301.7, 0.00579936, 1, 1, 0.0308573, 0.996813, 1, 1, 0.186183, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.998892, 0.997918, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
301.8, 0.00607863, 1, 1, 0.0322726, 0.996812, 1, 1, 0.18663, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.998886, 0.997925, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
301.9, 0.0063667, 1, 1, 0.0337285, 0.996812, 1, 1, 0.187078, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.998879, 0.997931, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
302, 0.00666418, 1, 1, 0.0352277, 0.996813, 1, 1, 0.187526, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.998871, 0.99794, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
302.1, 0.00697185, 1, 1, 0.0367741, 0.99682, 1, 1, 0.187974, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.998863, 0.997954, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
302.2, 0.00729099, 1, 1, 0.0383739, 0.996833, 1, 1, 0.188422, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.998855, 0.997974, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
302.3, 0.00762237, 1, 1, 0.0400305, 0.996851, 1, 1, 0.188871, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.998848, 0.998, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
302.4, 0.00796701, 1, 1, 0.0417489, 0.996871, 1, 1, 0.18932, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.998841, 0.998028, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
302.5, 0.00832593, 1, 1, 0.0435339, 0.996892, 1, 1, 0.189769, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.998834, 0.998056, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
302.6, 0.00869946, 1, 1, 0.0453865, 0.996912, 1, 1, 0.190218, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.998826, 0.998083, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
302.7, 0.00908785, 1, 1, 0.0473075, 0.99693, 1, 1, 0.190668, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.998819, 0.998109, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
302.8, 0.0094909, 1, 1, 0.0492955, 0.996946, 1, 1, 0.191118, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.998811, 0.998131, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
302.9, 0.00990828, 1, 1, 0.0513481, 0.99696, 1, 1, 0.191568, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.998805, 0.998154, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
303, 0.0103396, 1, 1, 0.0534629, 0.996972, 1, 1, 0.192018, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.998797, 0.998174, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
303.1, 0.0107833, 1, 1, 0.055632, 0.996985, 1, 1, 0.192469, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.998791, 0.998192, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
303.2, 0.011238, 1, 1, 0.0578478, 0.996997, 1, 1, 0.19292, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.998784, 0.99821, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
303.3, 0.0117027, 1, 1, 0.0601046, 0.997006, 1, 1, 0.193371, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.998778, 0.998225, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
