case index 6 = {
num freq, 1701
num column, 38
Waveln,  combin,  H2O,  umix,  O3,  trace,  N2,  H2Ocnt,  molec,  aercld,  HNO3,  aercld,  CO2,  CO,  CH4,  N2O,  O2,  NH3,  NO,  NO2,  SO2,  cloud,  F11,  F12,  CCl3F,  CF4,  F22,  F113,  F114,  R115,  ClONO2,  HNO4,  CHCl2F,  CCl4,  N2O5,  H2-H2,  H2-HE,  H2-CH4,  CH4-CH4
  [nm],  trans,  trans,  trans,  trans,  trans,  trans,  trans,  scat,  trans,  trans,  abtrns,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans
300, 0.00129091, 1, 1, 0.00845168, 0.996021, 1, 1, 0.150472, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.998866, 0.997153, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
301, 0.00239118, 1, 1, 0.0152695, 0.996381, 1, 1, 0.154589, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.998832, 0.997546, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
302, 0.00411544, 1, 1, 0.0256475, 0.996497, 1, 1, 0.158742, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.99876, 0.997735, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
303, 0.00664721, 1, 1, 0.0404379, 0.996673, 1, 1, 0.162928, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.998679, 0.997991, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
304, 0.0101547, 1, 1, 0.0602931, 0.99674, 1, 1, 0.167147, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.998626, 0.998112, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
305, 0.014768, 1, 1, 0.0856496, 0.996893, 1, 1, 0.171397, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.998595, 0.998295, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
306, 0.0206285, 1, 1, 0.116826, 0.996952, 1, 1, 0.175677, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.998571, 0.998378, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
307, 0.0276584, 1, 1, 0.153089, 0.997039, 1, 1, 0.179984, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.998534, 0.998503, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
308, 0.0359097, 1, 1, 0.194228, 0.997112, 1, 1, 0.184319, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.99848, 0.998629, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
309, 0.0452152, 1, 1, 0.239095, 0.997172, 1, 1, 0.188679, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.998408, 0.998762, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
310, 0.0554527, 1, 1, 0.286779, 0.99724, 1, 1, 0.193063, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.998342, 0.998895, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
311, 0.0665435, 1, 1, 0.336598, 0.997312, 1, 1, 0.19747, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.998281, 0.99903, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
312, 0.0780962, 1, 1, 0.386566, 0.997417, 1, 1, 0.201899, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.998239, 0.999177, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
313, 0.0905328, 1, 1, 0.438584, 0.997482, 1, 1, 0.206347, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.998196, 0.999284, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
314, 0.102657, 1, 1, 0.487009, 0.997552, 1, 1, 0.210815, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.998155, 0.999396, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
315, 0.11539, 1, 1, 0.536139, 0.997571, 1, 1, 0.2153, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.998098, 0.999472, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
316, 0.127162, 1, 1, 0.578997, 0.997575, 1, 1, 0.219801, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.998028, 0.999546, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
317, 0.139699, 1, 1, 0.623306, 0.997554, 1, 1, 0.224317, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.997947, 0.999605, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
318, 0.151684, 1, 1, 0.663539, 0.997552, 1, 1, 0.228847, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.997873, 0.999678, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
319, 0.1642, 1, 1, 0.704451, 0.997564, 1, 1, 0.233389, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.997818, 0.999746, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
320, 0.175641, 1, 1, 0.739191, 0.997574, 1, 1, 0.237943, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.997775, 0.999799, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
321, 0.186637, 1, 1, 0.770942, 0.997578, 1, 1, 0.242507, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.997735, 0.999842, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
322, 0.19642, 1, 1, 0.79638, 0.997569, 1, 1, 0.24708, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.997686, 0.999883, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
323, 0.206582, 1, 1, 0.822365, 0.997547, 1, 1, 0.251661, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.997633, 0.999914, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
324, 0.216337, 1, 1, 0.84592, 0.997516, 1, 1, 0.256248, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.997578, 0.999938, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
325, 0.225153, 1, 1, 0.865047, 0.997476, 1, 1, 0.260841, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.997522, 0.999954, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
326, 0.233829, 1, 1, 0.882822, 0.997435, 1, 1, 0.265439, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.99747, 0.999964, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
327, 0.241985, 1, 1, 0.898195, 0.997402, 1, 1, 0.27004, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.997427, 0.999975, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
328, 0.249662, 1, 1, 0.911224, 0.997356, 1, 1, 0.274644, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.997374, 0.999981, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
329, 0.257745, 1, 1, 0.925202, 0.997306, 1, 1, 0.279249, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.997318, 0.999986, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
330, 0.264888, 1, 1, 0.935625, 0.997265, 1, 1, 0.283855, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.997274, 0.99999, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
331, 0.271178, 1, 1, 0.942639, 0.997196, 1, 1, 0.28846, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.997203, 0.999993, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
332, 0.277797, 1, 1, 0.950466, 0.997107, 1, 1, 0.293064, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.997112, 0.999996, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
333, 0.284717, 1, 0.999988, 0.959265, 0.997018, 1, 1, 0.297665, 1, 1, 1, 1, 1, 1, 1, 0.999988, 1, 1, 0.997022, 0.999996, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
334, 0.291009, 1, 0.999913, 0.965649, 0.997011, 1, 1, 0.302264, 1, 1, 1, 1, 1, 1, 1, 0.999913, 1, 1, 0.997014, 0.999998, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
335, 0.297469, 1, 0.999763, 0.972426, 0.996994, 1, 1, 0.306857, 1, 1, 1, 1, 1, 1, 1, 0.999763, 1, 1, 0.996996, 0.999998, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
336, 0.303139, 1, 0.999593, 0.97666, 0.996977, 1, 1, 0.311447, 1, 1, 1, 1, 1, 1, 1, 0.999593, 1, 1, 0.996978, 0.999999, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
337, 0.307843, 1, 0.999468, 0.97765, 0.996909, 1, 1, 0.31603, 1, 1, 1, 1, 1, 1, 1, 0.999468, 1, 1, 0.99691, 0.999999, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
338, 0.312992, 1, 0.999377, 0.979914, 0.996804, 1, 1, 0.320606, 1, 1, 1, 1, 1, 1, 1, 0.999377, 1, 1, 0.996804, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
339, 0.318783, 1, 0.999234, 0.984317, 0.996661, 1, 1, 0.325176, 1, 1, 1, 1, 1, 1, 1, 0.999234, 1, 1, 0.996661, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
340, 0.324186, 1, 0.998976, 0.98756, 0.996558, 1, 1, 0.329737, 1, 1, 1, 1, 1, 1, 1, 0.998976, 1, 1, 0.996558, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
341, 0.329268, 1, 0.99858, 0.989768, 0.99654, 1, 1, 0.334289, 1, 1, 1, 1, 1, 1, 1, 0.99858, 1, 1, 0.99654, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
342, 0.334349, 1, 0.998129, 0.991965, 0.9966, 1, 1, 0.338832, 1, 1, 1, 1, 1, 1, 1, 0.998129, 1, 1, 0.9966, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
343, 0.338979, 1, 0.997823, 0.992731, 0.996647, 1, 1, 0.343364, 1, 1, 1, 1, 1, 1, 1, 0.997823, 1, 1, 0.996647, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
