case index 10 = {
num freq, 1701
num column, 38
Waveln,  combin,  H2O,  umix,  O3,  trace,  N2,  H2Ocnt,  molec,  aercld,  HNO3,  aercld,  CO2,  CO,  CH4,  N2O,  O2,  NH3,  NO,  NO2,  SO2,  cloud,  F11,  F12,  CCl3F,  CF4,  F22,  F113,  F114,  R115,  ClONO2,  HNO4,  CHCl2F,  CCl4,  N2O5,  H2-H2,  H2-HE,  H2-CH4,  CH4-CH4
  [nm],  trans,  trans,  trans,  trans,  trans,  trans,  trans,  scat,  trans,  trans,  abtrns,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans
300, 8.00568e-37, 1, 1, 1.82006e-17, 0.894261, 1, 1, 1.58015e-20, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.989849, 0.903428, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
301, 3.88927e-34, 1, 1, 4.20037e-15, 0.906675, 1, 1, 3.01228e-20, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.989547, 0.916251, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
302, 1.26703e-32, 1, 1, 8.96369e-14, 0.912127, 1, 1, 5.67676e-20, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.98891, 0.922359, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
303, 1.98845e-30, 1, 1, 6.45868e-12, 0.919741, 1, 1, 1.05784e-19, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.988188, 0.930738, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
304, 3.78817e-29, 1, 1, 8.56042e-11, 0.923242, 1, 1, 1.94966e-19, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.987711, 0.934736, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
305, 1.37635e-27, 1, 1, 1.4867e-09, 0.929028, 1, 1, 3.55483e-19, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.98744, 0.940846, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
306, 2.59313e-26, 1, 1, 1.83229e-08, 0.931559, 1, 1, 6.41356e-19, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.987236, 0.943605, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
307, 2.35732e-25, 1, 1, 1.03145e-07, 0.935342, 1, 1, 1.14525e-18, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.986897, 0.947764, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
308, 4.16662e-24, 1, 1, 9.73071e-07, 0.939129, 1, 1, 2.02446e-18, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.986428, 0.952056, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
