case index 9 = {
num freq, 1701
num column, 38
Waveln,  combin,  H2O,  umix,  O3,  trace,  N2,  H2Ocnt,  molec,  aercld,  HNO3,  aercld,  CO2,  CO,  CH4,  N2O,  O2,  NH3,  NO,  NO2,  SO2,  cloud,  F11,  F12,  CCl3F,  CF4,  F22,  F113,  F114,  R115,  ClONO2,  HNO4,  CHCl2F,  CCl4,  N2O5,  H2-H2,  H2-HE,  H2-CH4,  CH4-CH4
  [nm],  trans,  trans,  trans,  trans,  trans,  trans,  trans,  scat,  trans,  trans,  abtrns,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans
300, 4.57656e-10, 1, 1, 3.58439e-07, 0.985911, 1, 1, 0.00111618, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.996195, 0.989677, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
301, 3.09063e-09, 1, 1, 2.20232e-06, 0.987215, 1, 1, 0.00122963, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.99608, 0.991099, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
302, 1.48736e-08, 1, 1, 9.84481e-06, 0.987655, 1, 1, 0.00135226, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.995841, 0.99178, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
303, 6.47558e-08, 1, 1, 3.9239e-05, 0.988309, 1, 1, 0.00148458, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.995569, 0.992708, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
304, 2.38894e-07, 1, 1, 0.000133787, 0.988564, 1, 1, 0.00162713, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.99539, 0.993143, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
305, 7.29244e-07, 1, 1, 0.000378429, 0.989127, 1, 1, 0.00178045, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.995288, 0.993809, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
306, 2.14205e-06, 1, 1, 0.00102172, 0.989346, 1, 1, 0.00194511, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.99521, 0.994107, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
307, 5.14475e-06, 1, 1, 0.00228761, 0.989669, 1, 1, 0.00212168, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.995083, 0.994559, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
308, 1.19639e-05, 1, 1, 0.00489993, 0.98995, 1, 1, 0.00231074, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.994906, 0.995019, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
