case index 24 = {
num freq, 17001
num column, 38
Waveln,  combin,  H2O,  umix,  O3,  trace,  N2,  H2Ocnt,  molec,  aercld,  HNO3,  aercld,  CO2,  CO,  CH4,  N2O,  O2,  NH3,  NO,  NO2,  SO2,  cloud,  F11,  F12,  CCl3F,  CF4,  F22,  F113,  F114,  R115,  ClONO2,  HNO4,  CHCl2F,  CCl4,  N2O5,  H2-H2,  H2-HE,  H2-CH4,  CH4-CH4
  [nm],  trans,  trans,  trans,  trans,  trans,  trans,  trans,  scat,  trans,  trans,  abtrns,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans
300, 0.00674538, 1, 1, 0.0273407, 0.997041, 1, 1, 0.244764, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.999155, 0.997885, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
300.1, 0.00708048, 1, 1, 0.0286455, 0.997062, 1, 1, 0.24526, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.999153, 0.997906, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
300.2, 0.00742841, 1, 1, 0.029997, 0.997088, 1, 1, 0.245755, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.999153, 0.997934, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
300.3, 0.00779018, 1, 1, 0.0313989, 0.997116, 1, 1, 0.246251, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.999151, 0.997964, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
300.4, 0.00816653, 1, 1, 0.0328539, 0.997146, 1, 1, 0.246747, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.999149, 0.997996, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
300.5, 0.00855862, 1, 1, 0.0343662, 0.997175, 1, 1, 0.247243, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.999146, 0.998028, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
300.6, 0.00896756, 1, 1, 0.0359401, 0.997204, 1, 1, 0.247739, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.999143, 0.99806, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
300.7, 0.0093942, 1, 1, 0.0375785, 0.997233, 1, 1, 0.248235, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.999141, 0.998091, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
300.8, 0.00983874, 1, 1, 0.0392821, 0.997259, 1, 1, 0.248731, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.999137, 0.998121, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
300.9, 0.0103009, 1, 1, 0.0410492, 0.997285, 1, 1, 0.249228, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.999134, 0.99815, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
301, 0.01078, 1, 1, 0.0428769, 0.997309, 1, 1, 0.249724, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.999129, 0.998177, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
301.1, 0.0112749, 1, 1, 0.0447608, 0.997329, 1, 1, 0.250221, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.999125, 0.998203, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
301.2, 0.0117849, 1, 1, 0.0466975, 0.997347, 1, 1, 0.250717, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.99912, 0.998226, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
301.3, 0.0123083, 1, 1, 0.0486798, 0.997365, 1, 1, 0.251214, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.999115, 0.998248, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
301.4, 0.0128434, 1, 1, 0.0507015, 0.997377, 1, 1, 0.251711, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.999111, 0.998265, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
301.5, 0.0133891, 1, 1, 0.0527582, 0.997387, 1, 1, 0.252207, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.999105, 0.99828, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
301.6, 0.0139447, 1, 1, 0.0548464, 0.997393, 1, 1, 0.252704, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.999099, 0.998292, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
301.7, 0.0145108, 1, 1, 0.0569688, 0.997394, 1, 1, 0.253202, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.999093, 0.998299, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
301.8, 0.0150886, 1, 1, 0.0591297, 0.997394, 1, 1, 0.253698, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.999088, 0.998304, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
301.9, 0.0156799, 1, 1, 0.061336, 0.997393, 1, 1, 0.254195, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.999082, 0.99831, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
