case index 3 = {
num freq, 1701
num column, 38
Waveln,  combin,  H2O,  umix,  O3,  trace,  N2,  H2Ocnt,  molec,  aercld,  HNO3,  aercld,  CO2,  CO,  CH4,  N2O,  O2,  NH3,  NO,  NO2,  SO2,  cloud,  F11,  F12,  CCl3F,  CF4,  F22,  F113,  F114,  R115,  ClONO2,  HNO4,  CHCl2F,  CCl4,  N2O5,  H2-H2,  H2-HE,  H2-CH4,  CH4-CH4
  [nm],  trans,  trans,  trans,  trans,  trans,  trans,  trans,  scat,  trans,  trans,  abtrns,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans
300, 0.0098555, 1, 1, 0.0358317, 0.997272, 1, 1, 0.273237, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.99922, 0.99805, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
301, 0.0152192, 1, 1, 0.0543737, 0.997518, 1, 1, 0.278337, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.999197, 0.99832, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
302, 0.0223064, 1, 1, 0.0783422, 0.997597, 1, 1, 0.283438, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.999148, 0.998448, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
303, 0.0312441, 1, 1, 0.107893, 0.997717, 1, 1, 0.288538, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.999092, 0.998624, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
304, 0.041997, 1, 1, 0.142598, 0.997764, 1, 1, 0.293636, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.999056, 0.998707, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
305, 0.0545955, 1, 1, 0.182351, 0.997868, 1, 1, 0.29873, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.999034, 0.998832, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
306, 0.0688625, 1, 1, 0.226248, 0.997909, 1, 1, 0.30382, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.999017, 0.998889, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
307, 0.0845074, 1, 1, 0.273243, 0.997969, 1, 1, 0.308905, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.998992, 0.998975, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
308, 0.101285, 1, 1, 0.322306, 0.998018, 1, 1, 0.313982, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.998955, 0.999061, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
309, 0.118852, 1, 1, 0.372339, 0.99806, 1, 1, 0.319052, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.998906, 0.999153, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
310, 0.136926, 1, 1, 0.422394, 0.998105, 1, 1, 0.324112, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.998861, 0.999243, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
