case index 53 = {
num freq, 1701
num column, 38
Waveln,  combin,  H2O,  umix,  O3,  trace,  N2,  H2Ocnt,  molec,  aercld,  HNO3,  aercld,  CO2,  CO,  CH4,  N2O,  O2,  NH3,  NO,  NO2,  SO2,  cloud,  F11,  F12,  CCl3F,  CF4,  F22,  F113,  F114,  R115,  ClONO2,  HNO4,  CHCl2F,  CCl4,  N2O5,  H2-H2,  H2-HE,  H2-CH4,  CH4-CH4
  [nm],  trans,  trans,  trans,  trans,  trans,  trans,  trans,  scat,  trans,  trans,  abtrns,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans
300, 2.27126e-06, 1, 1, 0.000116321, 0.992606, 1, 1, 0.0298372, 0.633538, 1, 0.934907, 1, 1, 1, 1, 1, 1, 1, 0.997953, 0.994643, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
301, 7.05535e-06, 1, 1, 0.000345686, 0.993306, 1, 1, 0.0313687, 0.634146, 1, 0.935221, 1, 1, 1, 1, 1, 1, 1, 0.997904, 0.995393, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
302, 2.04579e-05, 1, 1, 0.000954425, 0.99363, 1, 1, 0.0329489, 0.63481, 1, 0.935476, 1, 1, 1, 1, 1, 1, 1, 0.997753, 0.995867, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
303, 4.93982e-05, 1, 1, 0.00220823, 0.993758, 1, 1, 0.0345783, 0.635481, 1, 0.935722, 1, 1, 1, 1, 1, 1, 1, 0.997583, 0.996166, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
304, 0.000111999, 1, 1, 0.00477116, 0.993999, 1, 1, 0.0362568, 0.636152, 1, 0.935967, 1, 1, 1, 1, 1, 1, 1, 0.997489, 0.996501, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
305, 0.000227942, 1, 1, 0.00930094, 0.994262, 1, 1, 0.0379846, 0.63682, 1, 0.936209, 1, 1, 1, 1, 1, 1, 1, 0.997452, 0.996802, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
306, 0.000426395, 1, 1, 0.0166309, 0.994381, 1, 1, 0.0397619, 0.637482, 1, 0.936445, 1, 1, 1, 1, 1, 1, 1, 0.997411, 0.996962, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
307, 0.000757304, 1, 1, 0.0282579, 0.994484, 1, 1, 0.0415887, 0.638141, 1, 0.936678, 1, 1, 1, 1, 1, 1, 1, 0.997345, 0.997131, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
308, 0.00122199, 1, 1, 0.0437301, 0.994714, 1, 1, 0.0434649, 0.638801, 1, 0.936911, 1, 1, 1, 1, 1, 1, 1, 0.997253, 0.997454, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
309, 0.00190463, 1, 1, 0.0652025, 0.994777, 1, 1, 0.0453906, 0.63946, 1, 0.937143, 1, 1, 1, 1, 1, 1, 1, 0.99711, 0.99766, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
310, 0.00282691, 1, 1, 0.0928889, 0.994885, 1, 1, 0.0473656, 0.640115, 1, 0.937371, 1, 1, 1, 1, 1, 1, 1, 0.996977, 0.997901, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
311, 0.00394843, 1, 1, 0.124407, 0.995075, 1, 1, 0.0493899, 0.640762, 1, 0.937597, 1, 1, 1, 1, 1, 1, 1, 0.996883, 0.998186, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
312, 0.00542412, 1, 1, 0.163867, 0.99526, 1, 1, 0.0514633, 0.641407, 1, 0.937821, 1, 1, 1, 1, 1, 1, 1, 0.996789, 0.998466, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
313, 0.00713492, 1, 1, 0.207177, 0.995396, 1, 1, 0.0535856, 0.642054, 1, 0.938045, 1, 1, 1, 1, 1, 1, 1, 0.996734, 0.998658, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
314, 0.00910436, 1, 1, 0.253826, 0.995529, 1, 1, 0.0557566, 0.642698, 1, 0.938269, 1, 1, 1, 1, 1, 1, 1, 0.996661, 0.998864, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
315, 0.0113593, 1, 1, 0.304595, 0.995581, 1, 1, 0.057976, 0.643338, 1, 0.938489, 1, 1, 1, 1, 1, 1, 1, 0.99654, 0.999038, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
316, 0.0137155, 1, 1, 0.353832, 0.995571, 1, 1, 0.0602435, 0.643972, 1, 0.938707, 1, 1, 1, 1, 1, 1, 1, 0.996435, 0.999134, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
317, 0.0162167, 1, 1, 0.402683, 0.995532, 1, 1, 0.0625588, 0.644602, 1, 0.938922, 1, 1, 1, 1, 1, 1, 1, 0.996274, 0.999256, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
318, 0.0192539, 1, 1, 0.460088, 0.995515, 1, 1, 0.0649215, 0.645233, 1, 0.939137, 1, 1, 1, 1, 1, 1, 1, 0.996119, 0.999393, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
319, 0.0222753, 1, 1, 0.513463, 0.995579, 1, 1, 0.0673311, 0.645864, 1, 0.939352, 1, 1, 1, 1, 1, 1, 1, 0.99604, 0.999536, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
320, 0.0252557, 1, 1, 0.56093, 0.99558, 1, 1, 0.0697874, 0.64649, 1, 0.939565, 1, 1, 1, 1, 1, 1, 1, 0.995954, 0.999625, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
321, 0.0286746, 1, 1, 0.614465, 0.995599, 1, 1, 0.0722898, 0.647111, 1, 0.939775, 1, 1, 1, 1, 1, 1, 1, 0.995896, 0.999702, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
322, 0.0311427, 1, 1, 0.645021, 0.995594, 1, 1, 0.0748377, 0.647729, 1, 0.939983, 1, 1, 1, 1, 1, 1, 1, 0.995809, 0.999783, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
323, 0.0343862, 1, 1, 0.686395, 0.995537, 1, 1, 0.0774307, 0.648347, 1, 0.940189, 1, 1, 1, 1, 1, 1, 1, 0.995694, 0.999843, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
324, 0.0381168, 1, 1, 0.736279, 0.995499, 1, 1, 0.0800683, 0.648965, 1, 0.940397, 1, 1, 1, 1, 1, 1, 1, 0.995613, 0.999886, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
325, 0.0402852, 1, 1, 0.752672, 0.995416, 1, 1, 0.0827498, 0.649579, 1, 0.940602, 1, 1, 1, 1, 1, 1, 1, 0.995502, 0.999913, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
