case index 7 = {
num freq, 1701
num column, 38
Waveln,  combin,  H2O,  umix,  O3,  trace,  N2,  H2Ocnt,  molec,  aercld,  HNO3,  aercld,  CO2,  CO,  CH4,  N2O,  O2,  NH3,  NO,  NO2,  SO2,  cloud,  F11,  F12,  CCl3F,  CF4,  F22,  F113,  F114,  R115,  ClONO2,  HNO4,  CHCl2F,  CCl4,  N2O5,  H2-H2,  H2-HE,  H2-CH4,  CH4-CH4
  [nm],  trans,  trans,  trans,  trans,  trans,  trans,  trans,  scat,  trans,  trans,  abtrns,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans
300, 4.42509e-37, 1, 1, 0.0303791, 0.997274, 1, 1, 0.275769, 5.01918e-35, 1, 2.07874e-10, 1, 1, 1, 1, 1, 1, 1, 0.999234, 0.998038, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
301, 8.13181e-37, 1, 1, 0.047141, 0.997531, 1, 1, 0.28088, 5.85528e-35, 1, 2.20328e-10, 1, 1, 1, 1, 1, 1, 1, 0.999216, 0.998313, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
302, 1.43598e-36, 1, 1, 0.0695947, 0.997649, 1, 1, 0.285991, 6.90123e-35, 1, 2.33329e-10, 1, 1, 1, 1, 1, 1, 1, 0.99916, 0.998487, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
303, 2.39609e-36, 1, 1, 0.0974587, 0.997695, 1, 1, 0.2911, 8.14407e-35, 1, 2.47068e-10, 1, 1, 1, 1, 1, 1, 1, 0.999096, 0.998597, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
304, 3.84378e-36, 1, 1, 0.130619, 0.997782, 1, 1, 0.296207, 9.60821e-35, 1, 2.61581e-10, 1, 1, 1, 1, 1, 1, 1, 0.99906, 0.99872, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
305, 5.95044e-36, 1, 1, 0.169513, 0.997879, 1, 1, 0.301309, 1.13245e-34, 1, 2.76796e-10, 1, 1, 1, 1, 1, 1, 1, 0.999047, 0.998829, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
306, 8.87552e-36, 1, 1, 0.212021, 0.997922, 1, 1, 0.306407, 1.33321e-34, 1, 2.92689e-10, 1, 1, 1, 1, 1, 1, 1, 0.999032, 0.998889, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
307, 1.29569e-35, 1, 1, 0.259198, 0.997959, 1, 1, 0.311498, 1.56876e-34, 1, 3.09393e-10, 1, 1, 1, 1, 1, 1, 1, 0.999008, 0.998951, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
308, 1.82881e-35, 1, 1, 0.307496, 0.998043, 1, 1, 0.316581, 1.84583e-34, 1, 3.27037e-10, 1, 1, 1, 1, 1, 1, 1, 0.998973, 0.999069, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
309, 2.53596e-35, 1, 1, 0.357026, 0.998064, 1, 1, 0.321656, 2.17077e-34, 1, 3.4563e-10, 1, 1, 1, 1, 1, 1, 1, 0.998919, 0.999144, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
310, 3.45302e-35, 1, 1, 0.40902, 0.998103, 1, 1, 0.326722, 2.54888e-34, 1, 3.65071e-10, 1, 1, 1, 1, 1, 1, 1, 0.998869, 0.999232, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
311, 4.58529e-35, 1, 1, 0.457282, 0.998172, 1, 1, 0.331777, 2.98776e-34, 1, 3.85346e-10, 1, 1, 1, 1, 1, 1, 1, 0.998835, 0.999337, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
312, 6.04069e-35, 1, 1, 0.506548, 0.998239, 1, 1, 0.33682, 3.49989e-34, 1, 4.06629e-10, 1, 1, 1, 1, 1, 1, 1, 0.998799, 0.999439, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
313, 7.83267e-35, 1, 1, 0.554075, 0.998289, 1, 1, 0.34185, 4.09959e-34, 1, 4.29079e-10, 1, 1, 1, 1, 1, 1, 1, 0.998779, 0.999509, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
314, 1.0035e-34, 1, 1, 0.597647, 0.998337, 1, 1, 0.346867, 4.80014e-34, 1, 4.5271e-10, 1, 1, 1, 1, 1, 1, 1, 0.998752, 0.999585, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
315, 1.27286e-34, 1, 1, 0.640249, 0.998355, 1, 1, 0.35187, 5.61204e-34, 1, 4.77401e-10, 1, 1, 1, 1, 1, 1, 1, 0.998706, 0.999648, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
316, 1.59251e-34, 1, 1, 0.677592, 0.998351, 1, 1, 0.356857, 6.5496e-34, 1, 5.03109e-10, 1, 1, 1, 1, 1, 1, 1, 0.998668, 0.999684, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
317, 1.97527e-34, 1, 1, 0.711284, 0.998334, 1, 1, 0.361828, 7.63791e-34, 1, 5.30035e-10, 1, 1, 1, 1, 1, 1, 1, 0.998606, 0.999728, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
318, 2.45432e-34, 1, 1, 0.747236, 0.998327, 1, 1, 0.366782, 8.90638e-34, 1, 5.58386e-10, 1, 1, 1, 1, 1, 1, 1, 0.998548, 0.999778, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
319, 3.01533e-34, 1, 1, 0.778882, 0.99835, 1, 1, 0.371719, 1.03831e-33, 1, 5.88198e-10, 1, 1, 1, 1, 1, 1, 1, 0.998519, 0.999831, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
320, 3.67935e-34, 1, 1, 0.804877, 0.99835, 1, 1, 0.376637, 1.20924e-33, 1, 6.19326e-10, 1, 1, 1, 1, 1, 1, 1, 0.998487, 0.999863, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
321, 4.48103e-34, 1, 1, 0.83268, 0.998357, 1, 1, 0.381536, 1.4064e-33, 1, 6.51682e-10, 1, 1, 1, 1, 1, 1, 1, 0.998466, 0.999891, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
322, 5.36142e-34, 1, 1, 0.848444, 0.998354, 1, 1, 0.386415, 1.63465e-33, 1, 6.85498e-10, 1, 1, 1, 1, 1, 1, 1, 0.998433, 0.999921, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
