case index 50 = {
num freq, 1701
num column, 38
Waveln,  combin,  H2O,  umix,  O3,  trace,  N2,  H2Ocnt,  molec,  aercld,  HNO3,  aercld,  CO2,  CO,  CH4,  N2O,  O2,  NH3,  NO,  NO2,  SO2,  cloud,  F11,  F12,  CCl3F,  CF4,  F22,  F113,  F114,  R115,  ClONO2,  HNO4,  CHCl2F,  CCl4,  N2O5,  H2-H2,  H2-HE,  H2-CH4,  CH4-CH4
  [nm],  trans,  trans,  trans,  trans,  trans,  trans,  trans,  scat,  trans,  trans,  abtrns,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans
300, 0.00239269, 1, 1, 0.0141637, 0.996661, 1, 1, 0.206134, 0.814917, 1, 0.970348, 1, 1, 1, 1, 1, 1, 1, 0.999063, 0.997595, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
301, 0.0041634, 1, 1, 0.0241154, 0.996975, 1, 1, 0.210827, 0.815268, 1, 0.970493, 1, 1, 1, 1, 1, 1, 1, 0.999041, 0.997932, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
302, 0.00683961, 1, 1, 0.038756, 0.997119, 1, 1, 0.215539, 0.815651, 1, 0.970612, 1, 1, 1, 1, 1, 1, 1, 0.998972, 0.998145, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
303, 0.0105086, 1, 1, 0.058309, 0.997175, 1, 1, 0.220269, 0.816037, 1, 0.970727, 1, 1, 1, 1, 1, 1, 1, 0.998893, 0.99828, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
304, 0.0153422, 1, 1, 0.0833293, 0.997283, 1, 1, 0.225015, 0.816423, 1, 0.97084, 1, 1, 1, 1, 1, 1, 1, 0.99885, 0.99843, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
305, 0.0215167, 1, 1, 0.114462, 0.9974, 1, 1, 0.229776, 0.816808, 1, 0.970952, 1, 1, 1, 1, 1, 1, 1, 0.998834, 0.998565, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
306, 0.0288391, 1, 1, 0.150313, 0.997454, 1, 1, 0.234551, 0.817188, 1, 0.971062, 1, 1, 1, 1, 1, 1, 1, 0.998815, 0.998637, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
307, 0.0376261, 1, 1, 0.192141, 0.9975, 1, 1, 0.239337, 0.817567, 1, 0.971171, 1, 1, 1, 1, 1, 1, 1, 0.998785, 0.998713, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
308, 0.0472369, 1, 1, 0.236531, 0.997603, 1, 1, 0.244134, 0.817947, 1, 0.971278, 1, 1, 1, 1, 1, 1, 1, 0.998743, 0.998858, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
309, 0.0578425, 1, 1, 0.283939, 0.99763, 1, 1, 0.248941, 0.818324, 1, 0.971386, 1, 1, 1, 1, 1, 1, 1, 0.998677, 0.998951, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
310, 0.0696038, 1, 1, 0.335171, 0.997678, 1, 1, 0.253755, 0.8187, 1, 0.971492, 1, 1, 1, 1, 1, 1, 1, 0.998616, 0.999059, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
311, 0.0812779, 1, 1, 0.384016, 0.997761, 1, 1, 0.258576, 0.819071, 1, 0.971597, 1, 1, 1, 1, 1, 1, 1, 0.998573, 0.999187, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
312, 0.0939027, 1, 1, 0.435302, 0.997843, 1, 1, 0.263403, 0.819441, 1, 0.971701, 1, 1, 1, 1, 1, 1, 1, 0.99853, 0.999312, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
313, 0.106693, 1, 1, 0.485638, 0.997905, 1, 1, 0.268234, 0.819811, 1, 0.971805, 1, 1, 1, 1, 1, 1, 1, 0.998505, 0.999399, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
314, 0.119216, 1, 1, 0.532792, 0.997963, 1, 1, 0.273068, 0.82018, 1, 0.971908, 1, 1, 1, 1, 1, 1, 1, 0.998472, 0.999491, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
315, 0.132016, 1, 1, 0.579579, 0.997986, 1, 1, 0.277904, 0.820547, 1, 0.972011, 1, 1, 1, 1, 1, 1, 1, 0.998416, 0.999569, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
316, 0.143984, 1, 1, 0.621142, 0.997981, 1, 1, 0.28274, 0.820909, 1, 0.972111, 1, 1, 1, 1, 1, 1, 1, 0.998368, 0.999612, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
317, 0.155456, 1, 1, 0.659131, 0.997961, 1, 1, 0.287576, 0.821269, 1, 0.972211, 1, 1, 1, 1, 1, 1, 1, 0.998294, 0.999666, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
318, 0.167996, 1, 1, 0.700185, 0.997953, 1, 1, 0.29241, 0.821629, 1, 0.972311, 1, 1, 1, 1, 1, 1, 1, 0.998224, 0.999728, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
319, 0.179688, 1, 1, 0.736599, 0.99798, 1, 1, 0.297242, 0.821989, 1, 0.972411, 1, 1, 1, 1, 1, 1, 1, 0.998187, 0.999792, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
320, 0.190188, 1, 1, 0.766819, 0.99798, 1, 1, 0.302071, 0.822347, 1, 0.97251, 1, 1, 1, 1, 1, 1, 1, 0.998148, 0.999832, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
321, 0.201508, 1, 1, 0.79938, 0.997988, 1, 1, 0.306895, 0.822701, 1, 0.972607, 1, 1, 1, 1, 1, 1, 1, 0.998122, 0.999866, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
322, 0.20942, 1, 1, 0.817856, 0.997985, 1, 1, 0.311712, 0.823053, 1, 0.972703, 1, 1, 1, 1, 1, 1, 1, 0.998082, 0.999903, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
323, 0.218783, 1, 1, 0.840758, 0.997958, 1, 1, 0.316524, 0.823405, 1, 0.972798, 1, 1, 1, 1, 1, 1, 1, 0.998028, 0.999929, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
324, 0.229505, 1, 1, 0.868683, 0.997941, 1, 1, 0.321328, 0.823757, 1, 0.972895, 1, 1, 1, 1, 1, 1, 1, 0.997991, 0.999949, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
325, 0.235439, 1, 1, 0.877808, 0.997902, 1, 1, 0.326124, 0.824106, 1, 0.97299, 1, 1, 1, 1, 1, 1, 1, 0.997941, 0.999961, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
326, 0.244284, 1, 1, 0.897003, 0.997863, 1, 1, 0.33091, 0.824452, 1, 0.973083, 1, 1, 1, 1, 1, 1, 1, 0.997892, 0.999971, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
327, 0.252471, 1, 1, 0.913825, 0.997846, 1, 1, 0.335686, 0.824796, 1, 0.973176, 1, 1, 1, 1, 1, 1, 1, 0.997865, 0.999979, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
328, 0.257231, 1, 1, 0.917606, 0.997809, 1, 1, 0.340451, 0.825139, 1, 0.973269, 1, 1, 1, 1, 1, 1, 1, 0.997825, 0.999985, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
329, 0.266132, 1, 1, 0.935787, 0.997753, 1, 1, 0.345205, 0.825481, 1, 0.973361, 1, 1, 1, 1, 1, 1, 1, 0.997765, 0.999989, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
330, 0.273012, 1, 1, 0.946894, 0.997723, 1, 1, 0.349946, 0.825823, 1, 0.973453, 1, 1, 1, 1, 1, 1, 1, 0.997732, 0.999992, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
331, 0.276494, 1, 1, 0.945755, 0.997697, 1, 1, 0.354674, 0.826162, 1, 0.973544, 1, 1, 1, 1, 1, 1, 1, 0.997703, 0.999995, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
332, 0.283702, 1, 1, 0.957266, 0.997587, 1, 1, 0.359387, 0.826497, 1, 0.973633, 1, 1, 1, 1, 1, 1, 1, 0.997591, 0.999997, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
333, 0.290159, 1, 1, 0.96628, 0.997498, 1, 1, 0.364087, 0.826832, 1, 0.973723, 1, 1, 1, 1, 1, 1, 1, 0.997501, 0.999997, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
334, 0.294395, 1, 0.999952, 0.967524, 0.997523, 1, 1, 0.36877, 0.827169, 1, 0.973811, 1, 1, 1, 1, 0.999952, 1, 1, 0.997525, 0.999998, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
335, 0.301014, 1, 0.999804, 0.97658, 0.997513, 1, 1, 0.373438, 0.82752, 1, 0.973896, 1, 1, 1, 1, 0.999804, 1, 1, 0.997515, 0.999999, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
336, 0.306497, 1, 0.999635, 0.982025, 0.997477, 1, 1, 0.378088, 0.827896, 1, 0.973975, 1, 1, 1, 1, 0.999635, 1, 1, 0.997478, 0.999999, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
337, 0.309336, 1, 0.99954, 0.978774, 0.997459, 1, 1, 0.382722, 0.828287, 1, 0.97405, 1, 1, 1, 1, 0.99954, 1, 1, 0.997459, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
338, 0.314069, 1, 0.999482, 0.981508, 0.997351, 1, 1, 0.387339, 0.828681, 1, 0.974125, 1, 1, 1, 1, 0.999482, 1, 1, 0.997351, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
339, 0.31986, 1, 0.999374, 0.987685, 0.997213, 1, 1, 0.391936, 0.829079, 1, 0.974199, 1, 1, 1, 1, 0.999374, 1, 1, 0.997213, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
340, 0.324036, 1, 0.999161, 0.988866, 0.997129, 1, 1, 0.396515, 0.829493, 1, 0.974269, 1, 1, 1, 1, 0.999161, 1, 1, 0.997129, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
341, 0.328338, 1, 0.998815, 0.990427, 0.997095, 1, 1, 0.401074, 0.829923, 1, 0.974334, 1, 1, 1, 1, 0.998815, 1, 1, 0.997095, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
342, 0.333285, 1, 0.998388, 0.993931, 0.997175, 1, 1, 0.405613, 0.830361, 1, 0.974398, 1, 1, 1, 1, 0.998388, 1, 1, 0.997175, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
343, 0.337079, 1, 0.998067, 0.993929, 0.997249, 1, 1, 0.410132, 0.830799, 1, 0.974461, 1, 1, 1, 1, 0.998067, 1, 1, 0.99725, 0.999999, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
344, 0.340375, 1, 0.998098, 0.99225, 0.997189, 1, 1, 0.41463, 0.831237, 1, 0.974525, 1, 1, 1, 1, 0.998098, 1, 1, 0.997189, 0.999999, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
345, 0.34486, 1, 0.998541, 0.993715, 0.997064, 1, 1, 0.419107, 0.831672, 1, 0.974588, 1, 1, 1, 1, 0.998541, 1, 1, 0.997064, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
346, 0.349836, 1, 0.999101, 0.996511, 0.996942, 1, 1, 0.423562, 0.832103, 1, 0.974651, 1, 1, 1, 1, 0.999101, 1, 1, 0.996942, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
347, 0.35418, 1, 0.999475, 0.997695, 0.996807, 1, 1, 0.427995, 0.832531, 1, 0.974713, 1, 1, 1, 1, 0.999475, 1, 1, 0.996808, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
